GUID,ItemName,ElementName,ElementType,ElementCategory,ElementFamily Name,ElementSystem Classification,CADmep+Service,CADmep+Service Type,ElementFabrication Service Name,ElementSize,ElementNominal Diameter,ElementArea,CADmep+Area,ElementLength,CADmep+Length/Angle,AttributesLength,AutoCadLength,ElementWeight,Tekla QuantityWeight,CADmep+Weight,SDS2_GeneralMember_Net_Weight,Code,Description
74db70c8-5a89-4d5e-9868-bca115197c72,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca115197c73,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca115197c74,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
74db70c8-5a89-4d5e-9868-bca115197c75,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761a83,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761abe,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761ac9,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761acc,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761acf,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761ae8,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761af0,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761af3,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761af6,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761afd,Upper Bracket,Upper Bracket,"FamilySymbol ""Upper Bracket"", #455587",Generic Models,,,,,,,,1.301,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761b92,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761b93,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761b94,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761b95,Angle Bracket Typ,"Angle Bracket 1'-7""x1'-10 1/4"" (Typ)","FamilySymbol ""Angle Bracket 1'-7""x1'-10 1/4"" (Typ)"", #772425",Generic Models,,,,,,,,0.342,,,,,,,,,,22 05 29,Hangers and Supports for Plumbing Piping and Equipment
755726d9-4a59-4022-af24-c0d46a761de4,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
755726d9-4a59-4022-af24-c0d46a761de7,Single Channel Strut Ver 1,P5500,"FamilySymbol ""P5500"", #408103",Structural Framing,,,,,,,,,,,,,,,,,,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540a3,W14x2,2021C1,"DirectShapeType ""W14x2"", #285450",Columns,,,,,,,,,,,,,,,,,1385 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540ab,W14x68,2018C1,"DirectShapeType ""W14x68"", #285442",Columns,,,,,,,,,,,,,,,,,1381 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540b9,W14x2,2017C2,"DirectShapeType ""W14x2"", #285456",Columns,,,,,,,,,,,,,,,,,2748 kg,05 21 23,Steel Joist Girder Framing
